Word,RecordCount,TotalOccurrences,FirstLetter
"GREGGXXX",2,4,"G"
"HURD",2,4,"H"
"KEENAN",2,4,"K"
"KRAMER",2,4,"K"
"MONICA",2,4,"M"
"GLENDA",2,4,"G"
"MACDOUGALL",2,4,"M"
"MARCOUX",2,4,"M"
"MCCLUSKEY",2,4,"M"
"NEWCOMB",2,4,"N"
"OTIS",2,4,"O"
"OWEN",2,4,"O"
"PINTO",2,4,"P"
"RUDDLE",2,4,"R"
"SHIPLEY",2,4,"S"
"STUBBS",2,4,"S"
"THOMPSON",2,4,"T"
"WEIR",2,4,"W"
"WHITLOCK",2,4,"W"
"YODER",2,4,"Y"
"KATHARINE",2,4,"K"
"LEDDY",2,4,"L"
"RETHORE",2,4,"R"
"MARYANN",2,4,"M"
"CHRYST",2,3,"C"
"HURLEY",2,3,"H"
"PIERRE",2,3,"P"
"FREDERICK",2,3,"F"
"ANDERSEN",2,3,"A"
"MARIA",2,3,"M"
"MOLLY",2,3,"M"
"RANDY",2,3,"R"
"BRICE",2,3,"B"
"SR",2,3,"S"
"WOLFE",2,3,"W"
"BLOCK",2,3,"B"
"ISLAND",2,3,"I"
"LOUIS",2,3,"L"
"CONWAY",2,3,"C"
"KAUFMAN",2,2,"K"
"GERALD",2,2,"G"
"GEOGHEGAN",2,2,"G"
"CANDICE",2,2,"C"
"LORRIE",2,2,"L"
"WEST",2,2,"W"
"JEREMIA",2,2,"J"
"DENGE",2,2,"D"
"MATT",2,2,"M"
"COOKIE",2,2,"C"
"MACMULLEN",2,2,"M"
"DEBRA",2,2,"D"
"ANASTOS",2,2,"A"
"SILVA",2,2,"S"
"DENISE",2,2,"D"
"VISCEGKA",2,2,"V"
"MD",2,2,"M"
"FURMICA",1,4,"F"
"KIRBY",1,4,"K"
"SUSPENSE",1,4,"S"
"WEINBERY",1,4,"W"
"KELLEY",1,4,"K"
"SERVIO",1,4,"S"
"VESCTGLIA",1,4,"V"
"MACNEIL",1,3,"M"
"SULLIVAN",1,3,"S"
"NEWELL",1,3,"N"
"LILLLY",1,3,"L"
"PERFIDO",1,3,"P"
"CAPUCIATI",1,3,"C"
"MCDONALD",1,3,"M"
